T000001 Cream,Bagels,Oranges,Nuts,Soda
T000095 Juice,Tea,Detergent,Chicken,Trash_Bags,Cream,Frozen_Vegetables
T000096 Pork,Bananas,Croissants,Bread
T000097 Soda,Dip,Butter,Toothpaste,Dish_Soap,Frozen_Dinners
T000098 Muffins,Milk,Nuts
T000099 Soda,Dip,Croissants,Chicken,Fish
T000100 Trash_Bags,Butter,Toothpaste,Crackers
T000101 Sugar,Coffee,Oranges,Apples,Butter,Bananas
T000102 Bread,Butter,Turkey,Bagels,Cream,Soap,Chicken,Yogurt
T000103 Soda,Deodorant
T000104 Nuts,Bananas
T000105 Ice_Cream,Coffee,Tea,Soap,Tomatoes,Donuts,Nuts,Muffins
T000106 Chocolate,Beef,Shampoo,Bread,Tomatoes,Chicken
T000107 Detergent,Frozen_Dinners,Bananas,Trash_Bags,Turkey,Beef
T000108 Fish,Muffins
T000109 Crackers,Juice,Bananas,Chips,Soda
T000110 Juice,Soap,Bananas
T000111 Beef,Chocolate,Frozen_Pizza,Frozen_Vegetables
T000112 Water,Dish_Soap
T000113 Dip,Chips,Detergent,Cheese
T000114 Pasta,Cheese,Lettuce,Milk,Bread,Paper_Towels,Cream
T000115 Whipped_Cream,Chocolate_Syrup,Apples,Cookies,Trash_Bags,Donuts,Shampoo,Coffee,Milk
T000116 Fish,Croissants,Donuts,Shampoo,Apples,Chips,Frozen_Vegetables
T000117 Detergent,Fish
T000118 Salsa,Chips,Paper_Towels,Cheese,Bagels
T000119 Chocolate_Syrup,Whipped_Cream,Fish,Milk,Frozen_Pizza,Bananas
T000120 Bread,Jelly,Toothpaste,Frozen_Vegetables,Cream
T000121 Milk,Bread,Chocolate,Chicken,Dish_Soap,Butter,Cookies,Lettuce,Oranges
T000122 Bread,Butter,Pork,Chicken,Soda,Nuts
T000123 Bread,Milk,Water,Tomatoes,Crackers
T000124 Dip,Soda,Frozen_Dinners,Paper_Towels
T000125 Chocolate_Syrup,Whipped_Cream,Trash_Bags,Shampoo,Juice,Lettuce,Muffins
T000126 Bagels
T000127 Dish_Soap,Butter
T000128 Beef,Hamburger_Buns,Tomatoes,Donuts,Shampoo,Chicken,Apples
T000129 Trash_Bags,Milk,Chips,Tea
T000130 Cereal,Milk,Trash_Bags,Chocolate
T000131 Tomatoes,Oranges,Fish,Soda,Crackers
T000132 Butter,Cheese,Toothpaste,Shampoo,Bread
T000133 Paper_Towels,Chicken
T000134 Paper_Towels,Muffins,Donuts,Crackers
T000135 Soda,Dip,Turkey,Toothpaste
T000136 Milk,Butter,Toothpaste,Paper_Towels,Donuts,Bananas,Soda,Soap
T000137 Tomatoes,Water,Frozen_Vegetables
T000138 Milk,Deodorant
T000139 Whipped_Cream,Chocolate_Syrup,Ice_Cream,Apples,Bagels,Pork
T000140 Coffee,Cream,Trash_Bags,Lettuce,Detergent,Tomatoes,Frozen_Pizza
T000141 Frozen_Pizza,Bananas,Frozen_Dinners,Oranges,Yogurt,Pork
T000142 Coffee,Frozen_Vegetables,Frozen_Pizza,Lettuce,Deodorant,Nuts,Butter
T000143 Cookies,Crackers,Butter,Tea,Frozen_Vegetables
T000144 Donuts,Nuts,Apples,Tea,Juice
T000145 Ice_Cream,Frozen_Pizza,Frozen_Vegetables,Water,Oranges,Juice,Fish
T000146 Ice_Cream,Chocolate_Syrup,Tea,Soda,Paper_Towels,Oranges
T000147 Juice,Bagels
T000148 Beer,Salsa,Beef,Donuts,Cookies,Bagels,Oranges,Cream
T000149 Beef,Lettuce,Tomatoes,Frozen_Pizza,Yogurt,Water,Bananas
T000150 Cookies,Coffee,Bagels,Water,Toothpaste,Frozen_Dinners
T000151 Cheese,Tomato_Sauce,Donuts,Ice_Cream
T000152 Frozen_Dinners,Donuts,Dish_Soap,Deodorant,Fish,Frozen_Pizza
T000153 Detergent,Soda,Cookies
T000154 Paper_Towels,Chocolate
T000155 Peanut_Butter,Jelly,Juice,Oranges,Toothpaste,Cookies,Lettuce,Milk,Pork
T000156 Tea,Trash_Bags
T000157 Cheese,Tomato_Sauce,Turkey,Croissants
T000158 Cookies,Frozen_Pizza,Bread,Water,Chocolate,Toothpaste
T000159 Nuts,Juice,Deodorant,Frozen_Pizza,Cheese,Cream,Milk
T000160 Cereal,Bananas,Butter,Soda,Crackers,Muffins,Soap,Croissants
T000161 Dip,Soda,Coffee,Juice,Detergent
T000162 Dip,Chips,Chicken,Tomatoes,Juice
T000163 Bread,Jelly,Cream,Coffee,Oranges,Juice,Milk,Muffins
T000164 Ice_Cream,Butter,Chips,Tomatoes,Soda,Lettuce,Water
T000165 Tea,Butter,Bread,Cookies
T000166 Donuts,Shampoo,Deodorant,Soap
T000167 Chips,Beer,Bananas,Toothpaste
T000168 Soda,Toothpaste,Lettuce,Shampoo,Deodorant
T000169 Ice_Cream,Bananas,Cookies
T000170 Dip,Chips,Muffins,Cream
T000171 Chips,Salsa,Donuts,Chicken,Coffee,Yogurt,Frozen_Vegetables,Chocolate,Tea
T000172 Juice,Bread,Cookies,Nuts,Fish,Bagels,Muffins
T000173 Cream,Coffee,Water,Soap,Juice,Nuts,Fish,Detergent,Lettuce
T000174 Yogurt,Apples,Lettuce,Ice_Cream,Chips,Bread
T000175 Vegetables,Chicken,Tea,Croissants,Cheese,Oranges
T000176 Detergent,Cheese,Croissants,Ice_Cream
T000177 Chips,Dip,Pork,Apples,Bananas,Muffins,Paper_Towels,Nuts,Chocolate,Ice_Cream
T000178 Frozen_Dinners,Chicken,Nuts,Croissants,Donuts,Chocolate,Deodorant,Bagels
T000179 Juice,Bananas,Trash_Bags,Turkey
T000180 Croissants,Soda,Water,Crackers
T000181 Cream,Sugar,Beef,Apples,Croissants
T000182 Tomatoes,Paper_Towels
T000183 Vegetables,Chicken,Apples,Croissants,Nuts,Dish_Soap
T000184 Cheese,Tomato_Sauce,Donuts,Frozen_Vegetables
T000185 Cheese,Tomato_Sauce,Turkey,Oranges,Water,Nuts,Croissants,Pork,Soda
T000186 Crackers,Frozen_Pizza,Cream,Beef,Chocolate,Frozen_Dinners,Tomatoes,Butter
T000187 Lettuce,Hamburger_Buns,Tomatoes,Cream,Tea,Frozen_Pizza,Paper_Towels,Soap
T000188 Nuts,Cheese,Tea,Fish,Ice_Cream,Yogurt
T000189 Cream,Sugar,Frozen_Dinners,Chocolate,Shampoo,Pork,Crackers,Cookies
T000190 Cookies,Nuts,Water
T000191 Butter,Deodorant,Oranges,Turkey,Chocolate,Donuts,Frozen_Vegetables
T000192 Bananas,Detergent,Oranges,Lettuce,Croissants
T000193 Oranges,Tomatoes,Bagels,Bananas,Milk
T000194 Croissants,Milk,Juice,Frozen_Pizza,Tomatoes
T000195 Frozen_Pizza,Nuts,Yogurt,Chicken,Tomatoes,Croissants
T000196 Deodorant,Detergent,Cream
T000197 Toothpaste,Donuts
T000198 Beer,Chips,Juice,Shampoo,Butter,Coffee,Soap
T000199 Bagels,Chicken
T000200 Shampoo,Donuts,Pork
T000201 Cookies,Croissants,Deodorant
T000202 Lettuce,Chocolate,Cheese,Chicken
T000203 Milk,Chicken,Ice_Cream,Tomatoes,Cookies,Frozen_Pizza,Juice,Paper_Towels
T000204 Muffins,Milk,Deodorant,Frozen_Pizza
T000205 Cheese,Pasta,Juice,Coffee
T000206 Croissants,Bread
T000207 Beef,Frozen_Dinners,Pork,Shampoo,Chocolate,Bagels
T000208 Turkey,Crackers
T000209 Dish_Soap,Tomatoes,Chips
T000210 Bananas,Water,Frozen_Pizza,Bagels,Butter,Pork
T000211 Apples,Cookies,Cream,Lettuce,Nuts
T000212 Ice_Cream,Soap,Bread,Dish_Soap,Beef,Toothpaste,Nuts
T000213 Chicken,Vegetables,Toothpaste,Yogurt,Dish_Soap
T000214 Chocolate_Syrup,Whipped_Cream,Ice_Cream,Apples,Frozen_Vegetables
T000215 Coffee,Sugar,Bread,Apples,Tomatoes,Bananas,Cheese,Dish_Soap,Detergent
T000216 Cream,Sugar,Chocolate,Toothpaste,Dish_Soap,Detergent
T000217 Cheese,Cream,Soap
T000218 Soda,Soap,Chicken,Bread
T000219 Bread,Soda,Lettuce,Croissants,Toothpaste
T000220 Bread,Butter,Beef,Deodorant,Cream,Apples,Frozen_Dinners
T000221 Chicken,Vegetables,Toothpaste,Dish_Soap,Trash_Bags
T000222 Bread,Butter,Bagels,Chocolate,Frozen_Pizza,Tea,Water,Turkey
T000223 Lettuce,Tomatoes,Ice_Cream,Dish_Soap
T000224 Hamburger_Buns,Beef,Crackers,Milk,Butter,Frozen_Vegetables,Dish_Soap,Bread,Apples
T000225 Chocolate,Nuts,Chicken,Chips,Croissants,Muffins
T000226 Chocolate,Cookies,Milk,Ice_Cream,Butter
T000227 Chicken,Tea,Cream,Cheese,Dish_Soap,Frozen_Pizza,Ice_Cream,Toothpaste
T000228 Coffee,Cream,Croissants,Turkey,Ice_Cream
T000229 Butter,Fish,Shampoo,Tomatoes,Detergent,Nuts,Chicken
T000230 Hamburger_Buns,Lettuce,Bagels,Bread,Cream
T000231 Cream,Sugar,Bagels,Ice_Cream,Oranges,Fish,Nuts,Crackers,Croissants
T000232 Pasta,Tomato_Sauce,Frozen_Pizza,Bread,Bananas,Paper_Towels,Detergent,Soap
T000233 Milk,Muffins,Paper_Towels,Detergent,Coffee,Soap
T000234 Cheese,Tomato_Sauce,Paper_Towels,Bananas
T000235 Milk,Butter,Juice,Coffee,Toothpaste
T000236 Dish_Soap,Muffins,Yogurt,Fish,Milk,Deodorant
T000237 Paper_Towels,Detergent,Ice_Cream,Butter,Muffins,Soda,Apples,Toothpaste
T000238 Beef,Hamburger_Buns,Tomatoes,Bread,Bagels,Cheese
T000239 Tea,Nuts,Frozen_Dinners,Yogurt,Shampoo
T000240 Butter,Bread,Paper_Towels,Dish_Soap
T000241 Water,Frozen_Dinners,Yogurt,Detergent
T000242 Coffee,Fish,Dish_Soap,Muffins,Donuts
T000243 Cheese,Tomato_Sauce,Soda,Tomatoes,Muffins,Pork,Chocolate
T000244 Deodorant,Tea,Chocolate,Crackers,Soap,Cookies
T000245 Frozen_Vegetables,Paper_Towels,Cheese,Nuts
T000246 Lettuce,Detergent,Muffins,Crackers,Bananas
T000247 Soap,Beef,Deodorant,Detergent,Cookies
T000248 Cream,Coffee,Frozen_Pizza,Oranges,Fish,Water,Ice_Cream,Paper_Towels
T000249 Water,Donuts,Pork,Soap,Apples,Yogurt,Nuts
T000250 Soda,Chocolate,Bagels,Fish,Butter,Pork,Paper_Towels
T000251 Frozen_Pizza,Paper_Towels
T000252 Milk,Butter,Frozen_Dinners,Bread,Nuts,Frozen_Vegetables,Shampoo,Detergent,Donuts,Chocolate
T000253 Butter,Apples
T000254 Butter,Soap,Chocolate,Water
T000255 Cheese,Frozen_Vegetables
T000256 Beer,Chips,Pork,Croissants,Milk,Turkey,Juice,Frozen_Dinners
T000257 Chips,Dip,Detergent
T000258 Chocolate,Beef,Cheese,Bananas
T000259 Turkey,Cream
T000260 Cream,Sugar,Trash_Bags,Frozen_Dinners,Paper_Towels,Nuts,Soap,Oranges,Butter,Toothpaste
T000261 Nuts,Deodorant,Yogurt,Toothpaste,Pork,Ice_Cream,Juice
T000262 Crackers,Soap,Tomatoes,Bananas,Deodorant
T000263 Chocolate_Syrup,Whipped_Cream,Frozen_Vegetables,Juice,Muffins,Tomatoes,Fish
T000264 Tomatoes,Frozen_Vegetables
T000265 Paper_Towels,Juice,Cheese
T000266 Whipped_Cream,Ice_Cream,Apples,Trash_Bags,Soda,Frozen_Pizza
T000267 Milk,Bread,Fish,Lettuce,Croissants,Detergent,Toothpaste,Pork,Nuts
T000268 Cereal,Bananas,Fish,Ice_Cream,Tomatoes,Chips,Pork
T000269 Crackers,Paper_Towels,Tea,Muffins,Nuts
T000270 Chips,Salsa,Bananas,Bagels,Toothpaste
T000271 Croissants,Chips,Coffee,Water,Tea,Milk
T000272 Chips,Oranges,Beef
T000273 Salsa,Beer,Oranges,Cheese,Frozen_Dinners
T000274 Bananas,Toothpaste,Ice_Cream
T000275 Milk,Butter,Shampoo,Deodorant
T000276 Ice_Cream,Chocolate_Syrup,Apples,Bread,Chicken,Beef,Paper_Towels,Soda,Oranges
T000277 Tomatoes,Croissants,Cheese,Paper_Towels
T000278 Croissants,Cheese,Muffins,Dish_Soap,Bananas,Crackers
T000279 Shampoo,Juice,Coffee
T000280 Water,Bread,Shampoo,Crackers,Coffee,Donuts
T000281 Chicken,Frozen_Vegetables,Muffins,Chips,Bagels,Paper_Towels,Fish
T000282 Vegetables,Rice,Trash_Bags,Muffins,Frozen_Vegetables,Coffee,Chips,Tea
T000283 Dish_Soap,Milk,Nuts,Toothpaste,Trash_Bags
T000284 Detergent,Cream,Water,Bagels,Soda
T000285 Soda,Muffins,Dish_Soap
T000286 Croissants,Coffee
T000287 Bananas,Ice_Cream,Cream,Tea,Detergent,Croissants,Shampoo
T000288 Apples,Beef
T000289 Cereal,Milk,Croissants,Fish,Cookies
T000290 Frozen_Pizza,Soda,Dish_Soap,Turkey,Chocolate,Milk,Bagels,Trash_Bags
T000291 Tea,Muffins,Nuts,Detergent
T000292 Coffee,Cream,Frozen_Pizza,Chocolate,Tomatoes,Trash_Bags
T000293 Chocolate_Syrup,Whipped_Cream,Toothpaste,Chicken,Trash_Bags,Dish_Soap
T000294 Hamburger_Buns,Lettuce,Beef,Coffee,Turkey
T000295 Bread,Jelly,Dish_Soap,Chips
T000296 Dip,Soda,Cheese,Tea,Frozen_Pizza,Frozen_Vegetables,Ice_Cream,Chips
T000297 Trash_Bags,Ice_Cream,Nuts,Donuts
T000298 Cheese,Pasta,Oranges,Donuts
T000299 Juice,Trash_Bags,Cream,Shampoo,Ice_Cream,Soda
T000300 Rice,Vegetables,Tomatoes,Bread,Frozen_Dinners,Yogurt,Toothpaste,Oranges
T000301 Juice,Tea,Chips,Pork,Trash_Bags
T000302 Butter,Lettuce,Ice_Cream,Pork,Dish_Soap
T000303 Trash_Bags,Pork,Frozen_Vegetables,Butter,Croissants,Oranges,Cookies
T000304 Chips,Soda,Paper_Towels,Dish_Soap,Soap,Water,Tomatoes,Muffins,Beef
T000305 Frozen_Vegetables,Toothpaste,Cookies,Chips,Milk
T000306 Ice_Cream,Butter,Trash_Bags
T000307 Cream,Shampoo,Chips,Soap,Paper_Towels
T000308 Bread,Peanut_Butter,Frozen_Vegetables,Chips,Juice,Soap
T000309 Muffins,Soap,Frozen_Pizza
T000310 Deodorant,Dish_Soap,Bread,Soda,Fish,Turkey,Cream
T000311 Beef,Oranges
T000312 Soda,Cookies
T000313 Milk,Bananas,Frozen_Pizza,Juice,Cookies,Tea,Deodorant,Paper_Towels,Trash_Bags,Soda
T000314 Chips,Soda,Turkey,Frozen_Vegetables,Beef,Frozen_Pizza
T000315 Vegetables,Chicken,Bread,Ice_Cream,Tea,Frozen_Dinners
T000316 Beer,Chips,Deodorant,Chocolate,Detergent,Soap,Frozen_Dinners
T000317 Tea,Cheese,Crackers
T000318 Butter,Bread,Crackers,Toothpaste,Tomatoes,Frozen_Pizza,Frozen_Vegetables,Chocolate,Yogurt,Bananas
T000319 Toothpaste,Bread,Donuts,Tomatoes,Muffins
T000320 Soda,Pork,Bananas
T000321 Tomatoes,Beef,Chips,Turkey
T000322 Soda,Pork,Trash_Bags,Oranges,Detergent,Paper_Towels,Ice_Cream,Turkey
T000323 Salsa,Chips,Milk,Coffee,Ice_Cream,Water,Tomatoes
T000324 Toothpaste,Oranges,Cream,Bananas,Juice
T000325 Deodorant,Turkey,Chips,Dish_Soap,Lettuce,Beef,Detergent,Bread
T000326 Chocolate_Syrup,Ice_Cream,Shampoo,Oranges
T000327 Chips,Coffee,Butter,Dish_Soap,Donuts,Oranges,Chicken
T000328 Tomatoes,Hamburger_Buns,Trash_Bags,Soap,Cookies,Paper_Towels,Chocolate,Cheese
T000329 Salsa,Beer,Apples,Frozen_Vegetables,Nuts
T000330 Lettuce,Muffins,Bread,Deodorant,Oranges,Nuts,Apples,Detergent
T000331 Chips,Tomatoes
T000332 Lettuce,Deodorant
T000333 Toothpaste,Bread,Crackers
T000334 Sugar,Coffee,Chips,Trash_Bags,Juice,Paper_Towels,Shampoo,Butter,Cream
T000335 Coffee,Cream,Oranges,Fish,Muffins,Ice_Cream
T000336 Chocolate_Syrup,Whipped_Cream,Bagels,Pork,Dish_Soap,Soap,Detergent
T000337 Butter,Bread,Dish_Soap,Yogurt,Oranges
T000338 Donuts,Water,Juice
T000339 Frozen_Dinners,Detergent,Soap,Ice_Cream,Cheese,Deodorant,Nuts,Frozen_Vegetables
T000340 Soap,Tomatoes,Shampoo,Deodorant,Beef
T000341 Pork,Coffee,Milk,Beef,Tomatoes,Turkey
T000342 Donuts,Soda,Chicken
T000343 Coffee,Cream,Beef,Frozen_Dinners,Frozen_Pizza,Nuts,Frozen_Vegetables,Oranges,Cookies,Soda
T000344 Salsa,Chips,Coffee,Soap,Tomatoes,Milk,Turkey,Ice_Cream
T000345 Fish,Croissants,Beef,Yogurt,Soap
T000346 Nuts,Chicken,Bread,Detergent,Turkey
T000347 Cheese,Pasta,Pork,Dish_Soap,Toothpaste,Croissants,Fish,Chicken,Chips
T000348 Chips,Tea
T000349 Whipped_Cream,Ice_Cream,Croissants,Crackers,Yogurt,Deodorant,Frozen_Vegetables,Cookies
T000350 Oranges,Turkey,Muffins
T000351 Detergent,Cheese
T000352 Beer,Chips,Frozen_Dinners,Deodorant,Coffee,Trash_Bags
T000353 Coffee,Juice,Fish,Chips,Toothpaste,Soda
T000354 Chips,Beer,Dish_Soap,Apples,Bananas,Juice,Bagels
T000355 Cereal,Bananas,Oranges,Toothpaste,Muffins,Nuts,Deodorant,Milk
T000356 Soda,Frozen_Vegetables,Deodorant,Crackers
T000357 Dish_Soap,Paper_Towels,Frozen_Vegetables,Yogurt,Trash_Bags,Crackers,Fish
T000358 Frozen_Pizza,Fish,Yogurt,Water,Milk
T000359 Beef,Apples
T000360 Frozen_Pizza,Yogurt,Cookies,Apples,Soap,Donuts,Croissants
T000361 Juice,Toothpaste
T000362 Crackers,Tomatoes,Water,Shampoo,Bread,Frozen_Pizza,Yogurt,Paper_Towels
T000363 Juice,Crackers
T000364 Frozen_Pizza,Milk,Cheese,Bagels,Chips,Pork
T000365 Butter,Milk,Turkey,Soap,Donuts
T000366 Apples,Chocolate,Tomatoes,Tea,Deodorant
T000367 Chicken,Chocolate
T000368 Lettuce,Toothpaste,Chips,Frozen_Vegetables,Crackers
T000369 Butter,Cookies,Toothpaste,Frozen_Vegetables,Tea,Shampoo,Croissants,Donuts
T000370 Cream,Donuts,Coffee,Muffins,Toothpaste,Cheese
T000371 Chocolate,Cheese,Tea,Turkey,Deodorant,Cream,Trash_Bags
T000372 Tea,Ice_Cream,Oranges,Trash_Bags,Turkey,Nuts,Chicken
T000373 Chicken,Dish_Soap,Yogurt,Beef
T000374 Ice_Cream,Chocolate_Syrup,Detergent,Tomatoes,Frozen_Pizza,Turkey
T000375 Frozen_Pizza,Chocolate,Frozen_Vegetables,Turkey,Beef,Cookies
T000376 Deodorant,Paper_Towels,Tea,Crackers,Coffee
T000377 Bread,Jelly,Apples,Water,Pork,Donuts,Yogurt
T000378 Chicken,Tea
T000379 Bread,Butter,Soda,Chips,Fish,Cookies,Nuts,Chicken,Bananas
T000380 Coffee,Muffins,Lettuce,Dish_Soap,Frozen_Vegetables,Chocolate,Juice
T000381 Croissants,Deodorant,Paper_Towels,Turkey
T000382 Rice,Vegetables,Oranges,Deodorant,Soap,Dish_Soap,Nuts,Paper_Towels,Milk
T000383 Soap,Bagels,Beef
T000384 Pork,Paper_Towels,Dish_Soap,Trash_Bags,Frozen_Pizza,Lettuce,Detergent
T000385 Nuts,Tea
T000386 Deodorant,Croissants,Muffins,Chips,Tomatoes,Trash_Bags
T000387 Dish_Soap,Tomatoes
T000388 Paper_Towels,Chocolate,Milk
T000389 Chicken,Frozen_Dinners,Coffee,Trash_Bags,Bagels,Beef
T000390 Cheese,Cream
T000391 Pasta,Cheese,Shampoo,Pork,Juice,Toothpaste
T000392 Toothpaste,Frozen_Pizza,Juice,Trash_Bags,Shampoo,Chocolate,Beef
T000393 Bread,Peanut_Butter,Apples,Bananas,Bagels,Donuts,Turkey,Butter
T000394 Paper_Towels,Juice,Deodorant,Chips,Bread,Bagels
T000395 Apples,Cheese,Tomatoes,Chips
T000396 Bread,Muffins,Cookies,Frozen_Pizza,Shampoo
T000397 Trash_Bags,Croissants,Chicken,Dish_Soap,Pork
T000398 Chocolate,Frozen_Dinners,Bagels
T000399 Chicken,Beef,Dish_Soap,Cheese,Water
T000400 Frozen_Vegetables,Ice_Cream,Dish_Soap,Beef,Butter
T000401 Trash_Bags,Chicken,Lettuce,Ice_Cream,Soap,Bread
T000402 Tea,Trash_Bags,Dish_Soap,Bagels,Paper_Towels,Cream,Turkey,Frozen_Pizza
