TransactionID,Items
T000107,"Frozen_Vegetables,Deodorant,Nuts,Apples,Muffins,Pork"
T000108,"Toothpaste,Muffins,Cheese,Frozen_Dinners"
T000109,"Apples,Frozen_Pizza,Bread,Soda"
T000110,"Deodorant,Ice_Cream"
T000111,"Jelly,Peanut_Butter,Cheese,Oranges,Yogurt,Cookies,Tomatoes"
T000112,"Trash_Bags,Turkey,Tomatoes,Frozen_Vegetables,Ice_Cream"
T000113,"Yogurt,Crackers,Paper_Towels,Frozen_Dinners,Toothpaste,Muffins"
T000114,"Tea,Bread,Frozen_Pizza"
T000115,"Frozen_Pizza,Dish_Soap,Cheese,Turkey,Cookies,Frozen_Vegetables"
T000116,"Butter,Bread,Bananas,Detergent,Frozen_Vegetables,Cream,Yogurt"
T000117,"Soap,Bagels,Apples,Bananas"
T000118,"Detergent,Milk,Juice,Water"
T000119,"Ice_Cream,Trash_Bags"
T000120,"Donuts,Turkey,Nuts,Frozen_Vegetables,Toothpaste,Trash_Bags"
T000121,"Croissants,Frozen_Vegetables,Cream,Tomatoes,Crackers"
T000122,"Frozen_Pizza,Juice"
T000123,"Beef,Toothpaste,Paper_Towels"
T000124,"Bagels,Juice"
T000125,"Coffee,Cream"
T000126,"Cereal,Bananas,Paper_Towels,Fish"
T000127,"Nuts,Tomatoes,Bagels,Toothpaste"
T000128,"Tomatoes,Detergent,Toothpaste,Milk"
T000129,"Lettuce,Ice_Cream,Muffins,Apples,Oranges,Cream,Frozen_Vegetables,Chocolate"
T000130,"Frozen_Vegetables,Water,Soap,Ice_Cream"
T000131,"Coffee,Sugar,Paper_Towels,Toothpaste,Fish"
T000132,"Chips,Shampoo,Ice_Cream,Frozen_Vegetables,Chicken,Muffins"
T000133,"Chips,Soda,Juice,Muffins,Cream,Yogurt,Tea"
T000134,"Pork,Yogurt,Trash_Bags"
T000135,"Peanut_Butter,Bread,Nuts,Frozen_Pizza,Juice,Oranges,Croissants,Frozen_Vegetables,Toothpaste"
T000136,"Apples,Soap"
T000137,"Pasta,Cheese,Beef,Water"
T000138,"Deodorant,Bananas,Turkey,Cookies,Juice,Frozen_Pizza"
T000139,"Shampoo,Butter"
T000140,"Bagels,Nuts"
T000141,"Pasta,Cheese,Juice,Soap,Dish_Soap,Donuts,Paper_Towels,Pork"
T000142,"Water,Nuts,Frozen_Vegetables,Cheese,Apples,Muffins"
T000143,"Paper_Towels,Oranges,Cheese,Lettuce,Shampoo,Soap"
T000144,"Butter,Shampoo,Croissants,Tea,Frozen_Dinners,Apples"
T000145,"Chicken,Rice,Bread,Croissants,Frozen_Pizza,Deodorant,Oranges,Ice_Cream"
T000146,"Frozen_Pizza,Chips"
T000147,"Bagels,Toothpaste"
T000148,"Chips,Dip,Detergent,Cheese,Paper_Towels"
T000149,"Ice_Cream,Soap,Beef,Pork"
T000150,"Pork,Soap"
T000151,"Chips,Dip,Yogurt,Shampoo,Milk,Trash_Bags,Muffins,Paper_Towels"
T000152,"Jelly,Bread,Detergent,Frozen_Pizza"
T000153,"Beef,Coffee"
T000154,"Water,Beef,Cheese"
T000155,"Bagels,Tomatoes"
T000156,"Pork,Turkey,Chips,Shampoo,Chocolate"
T000157,"Beef,Detergent,Bagels,Bread,Bananas"
T000158,"Chips,Dip,Trash_Bags,Deodorant,Tea,Detergent"
T000159,"Trash_Bags,Yogurt,Donuts,Apples"
T000160,"Cookies,Shampoo,Trash_Bags"
T000161,"Frozen_Pizza,Yogurt,Soap,Donuts,Toothpaste"
T000162,"Cookies,Fish,Frozen_Vegetables,Yogurt,Pork,Soap,Lettuce"
T000163,"Deodorant,Frozen_Pizza,Turkey"
T000164,"Pork,Detergent,Cream,Donuts"
T000165,"Fish,Soap,Deodorant,Bananas,Shampoo,Chicken"
T000166,"Paper_Towels,Cream,Frozen_Dinners,Beef"
T000167,"Milk,Beef"
T000168,"Croissants,Paper_Towels,Shampoo,Bagels"
T000169,"Chicken,Bananas,Oranges,Turkey,Detergent,Frozen_Pizza,Deodorant,Soda"
T000170,"Croissants,Ice_Cream,Pork,Soap"
T000171,"Detergent,Chips,Bagels"
T000172,"Soap,Croissants"
T000173,"Frozen_Vegetables,Chips,Lettuce,Butter,Yogurt,Cream,Trash_Bags"
T000174,"Beef,Lettuce,Bagels,Cheese,Cream,Milk,Croissants,Chips"
T000175,"Tomato_Sauce,Pasta,Chocolate,Tea,Water,Cream,Tomatoes,Frozen_Dinners"
T000176,"Frozen_Vegetables,Bananas,Water,Trash_Bags,Apples"
T000177,"Detergent,Muffins,Chips,Bananas,Shampoo"
T000178,"Butter,Tea"
T000179,"Toothpaste,Lettuce,Bananas,Fish,Bread"
T000180,"Bread,Chocolate,Chips,Frozen_Pizza"
T000181,"Ice_Cream,Cookies,Nuts,Chips,Turkey"
T000182,"Juice,Donuts"
T000183,"Water,Pork,Coffee,Yogurt,Soda"
T000184,"Milk,Bread,Dish_Soap,Cookies,Bagels,Trash_Bags"
T000185,"Soda,Soap,Cookies"
T000186,"Lettuce,Beef,Hamburger_Buns,Ice_Cream,Crackers,Frozen_Pizza"
T000187,"Peanut_Butter,Bread,Butter,Frozen_Dinners,Pork,Tomatoes"
T000188,"Turkey,Milk,Coffee,Frozen_Dinners,Frozen_Pizza,Deodorant,Chips"
T000189,"Juice,Milk,Deodorant"
T000190,"Dish_Soap,Water,Juice,Coffee,Nuts,Yogurt"
T000191,"Chips,Soda,Ice_Cream,Bagels,Shampoo,Pork,Paper_Towels,Muffins,Juice,Nuts"
T000192,"Milk,Bagels,Detergent,Beef,Cookies,Cream"
T000193,"Water,Bananas,Deodorant,Oranges,Tomatoes"
T000194,"Ice_Cream,Butter"
T000195,"Salsa,Beer,Tea,Cheese"
T000196,"Cereal,Milk,Ice_Cream,Yogurt"
T000197,"Ice_Cream,Whipped_Cream,Crackers,Trash_Bags,Coffee,Oranges,Pork,Water,Bananas"
T000198,"Nuts,Ice_Cream,Toothpaste"
T000199,"Nuts,Milk"
T000200,"Pork,Bananas"
T000201,"Muffins,Oranges,Beef,Nuts,Deodorant,Dish_Soap,Lettuce"
T000202,"Coffee,Cream,Oranges,Yogurt,Croissants,Chocolate"
T000203,"Bread,Butter,Soap,Yogurt,Milk,Apples,Donuts"
T000204,"Yogurt,Bananas"
T000205,"Oranges,Apples,Muffins,Frozen_Dinners,Tea,Croissants,Yogurt"
T000206,"Cheese,Pasta,Nuts,Lettuce,Chicken,Cookies"
T000207,"Muffins,Tea,Deodorant,Coffee,Frozen_Vegetables,Chips,Chicken"
T000208,"Yogurt,Milk,Cream,Oranges,Deodorant,Chicken"
T000209,"Crackers,Frozen_Dinners,Cream,Ice_Cream,Pork,Soap"
T000210,"Tomatoes,Dish_Soap,Cheese,Deodorant,Juice,Bread,Shampoo"
T000211,"Whipped_Cream,Ice_Cream,Frozen_Vegetables,Shampoo,Detergent,Frozen_Pizza,Crackers,Cookies"
T000212,"Toothpaste,Milk,Frozen_Pizza"
T000213,"Vegetables,Chicken,Apples,Milk,Chocolate,Bread"
T000214,"Butter,Coffee,Turkey,Apples,Ice_Cream,Donuts"
T000215,"Beer,Salsa,Lettuce,Shampoo,Crackers,Pork,Trash_Bags,Bagels,Cheese"
T000216,"Ice_Cream,Frozen_Pizza,Bread,Coffee,Milk,Crackers,Butter,Paper_Towels"
T000217,"Butter,Milk,Bread,Chips,Frozen_Vegetables,Toothpaste,Water"
T000218,"Butter,Bread,Frozen_Vegetables,Nuts"
T000219,"Soda,Dip,Deodorant,Tea,Milk,Frozen_Pizza,Juice"
T000220,"Chips,Soda,Ice_Cream,Apples,Yogurt,Bananas,Donuts,Soap"
T000221,"Nuts,Water,Pork,Milk,Yogurt,Chicken"
T000222,"Tomato_Sauce,Pasta,Oranges,Shampoo,Water,Chocolate,Cookies,Ice_Cream,Tea"
T000223,"Bananas,Tomatoes"
T000224,"Chicken,Bagels"
T000225,"Apples,Soap"
T000226,"Oranges,Yogurt,Lettuce,Tomatoes,Shampoo,Frozen_Vegetables"
T000227,"Bananas,Deodorant,Cookies,Croissants,Detergent"
T000228,"Yogurt,Frozen_Dinners,Ice_Cream,Soap,Bagels,Deodorant,Pork,Tea"
T000229,"Juice,Coffee,Ice_Cream,Shampoo,Detergent,Oranges,Deodorant,Cookies"
T000230,"Bananas,Turkey,Chocolate"
T000231,"Butter,Fish"
T000232,"Butter,Frozen_Pizza"
T000233,"Chips,Frozen_Vegetables,Turkey"
T000234,"Milk,Cereal,Chips,Yogurt,Beef,Donuts,Shampoo,Tomatoes,Dish_Soap"
T000235,"Bananas,Soda,Tea,Juice,Coffee"
T000236,"Lettuce,Chips"
T000237,"Donuts,Nuts,Soap,Tea,Frozen_Dinners"
T000238,"Salsa,Chips,Chocolate,Soap,Nuts,Tea,Paper_Towels,Bread"
T000239,"Frozen_Vegetables,Chips,Soap,Coffee,Shampoo"
T000240,"Croissants,Deodorant,Soap,Frozen_Vegetables,Soda,Tomatoes"
T000241,"Tomato_Sauce,Cheese,Crackers,Ice_Cream,Donuts"
T000242,"Beef,Ice_Cream,Croissants,Coffee,Butter,Chocolate,Trash_Bags,Apples"
T000243,"Detergent,Tomatoes,Apples,Frozen_Vegetables,Soap"
T000244,"Chocolate_Syrup,Ice_Cream,Croissants,Nuts,Deodorant,Beef,Water"
T000245,"Toothpaste,Cookies,Coffee,Chips"
T000246,"Apples,Fish,Shampoo,Nuts,Juice,Oranges,Milk,Deodorant"
T000247,"Muffins,Deodorant,Yogurt,Paper_Towels,Cheese,Bananas,Nuts"
T000248,"Dish_Soap,Chocolate,Deodorant,Frozen_Dinners,Bananas,Butter"
T000249,"Soap,Bread,Trash_Bags,Beef,Frozen_Pizza,Donuts,Chocolate"
T000250,"Butter,Bread,Shampoo,Soda,Crackers,Trash_Bags,Beef,Pork"
T000251,"Tea,Soda,Juice,Shampoo,Trash_Bags"
T000252,"Vegetables,Rice,Trash_Bags,Nuts,Bread,Frozen_Pizza"
T000253,"Cream,Sugar,Shampoo,Dish_Soap,Detergent"
T000254,"Crackers,Yogurt,Dish_Soap,Soda,Toothpaste"
T000255,"Muffins,Cream,Donuts,Coffee"
T000256,"Chips,Bread,Soda,Cheese,Cream,Yogurt,Tomatoes,Ice_Cream"
T000257,"Butter,Bread,Deodorant,Cookies"
T000258,"Apples,Oranges"
T000259,"Whipped_Cream,Chocolate_Syrup,Juice,Bananas,Chicken"
T000260,"Coffee,Cream,Frozen_Dinners,Paper_Towels,Dish_Soap"
T000261,"Chicken,Apples,Turkey,Dish_Soap,Beef,Trash_Bags,Frozen_Pizza,Tea"
T000262,"Bagels,Donuts,Dish_Soap,Ice_Cream,Cookies,Fish"
T000263,"Butter,Bread,Paper_Towels,Pork,Donuts"
T000264,"Trash_Bags,Apples,Detergent,Deodorant,Dish_Soap,Milk"
T000265,"Milk,Bread"
T000266,"Ice_Cream,Lettuce,Detergent,Butter,Fish,Chocolate,Tea,Paper_Towels"
T000267,"Bagels,Shampoo,Crackers,Water"
T000268,"Bread,Coffee,Water,Ice_Cream"
T000269,"Soda,Chips,Chocolate,Pork,Bagels"
T000270,"Milk,Cereal,Tea,Water,Deodorant,Apples"
T000271,"Water,Turkey,Oranges,Frozen_Pizza,Bananas,Bread"
T000272,"Lettuce,Toothpaste,Water,Beef"
T000273,"Tomatoes,Lettuce,Muffins,Toothpaste,Ice_Cream,Detergent"
T000274,"Dip,Chips,Coffee,Yogurt,Bagels,Cookies,Oranges,Shampoo"
T000275,"Bagels,Frozen_Pizza,Shampoo,Tomatoes,Croissants,Oranges,Toothpaste"
T000276,"Tea,Crackers,Nuts,Turkey"
T000277,"Cream,Cheese,Beef,Deodorant,Shampoo,Detergent"
T000278,"Nuts,Water"
T000279,"Cheese,Tomato_Sauce,Beef,Deodorant,Coffee,Water,Muffins,Bananas,Soda"
T000280,"Hamburger_Buns,Tomatoes,Beef,Bagels,Turkey,Donuts,Croissants"
T000281,"Chicken,Frozen_Pizza,Detergent,Soda,Cheese"
T000282,"Lettuce,Bread,Apples,Fish,Tea,Shampoo,Chicken"
T000283,"Frozen_Vegetables,Turkey"
T000284,"Tomato_Sauce,Cheese,Oranges,Juice,Detergent,Lettuce,Frozen_Dinners"
T000285,"Milk,Frozen_Vegetables"
T000286,"Vegetables,Rice,Ice_Cream,Trash_Bags,Croissants,Soap,Turkey"
T000287,"Peanut_Butter,Jelly,Croissants,Water,Oranges,Shampoo,Deodorant,Beef,Detergent,Paper_Towels"
T000288,"Tomato_Sauce,Pasta,Soap,Yogurt"
T000289,"Bananas,Cheese,Soap,Coffee,Detergent"
T000290,"Beef,Tomatoes,Chips,Cookies,Lettuce,Deodorant,Muffins,Ice_Cream,Milk"
T000291,"Paper_Towels,Croissants,Tomatoes,Muffins,Turkey,Oranges,Cream"
T000292,"Detergent,Croissants"
T000293,"Frozen_Pizza,Frozen_Dinners,Cookies,Apples"
T000294,"Bread,Milk,Dish_Soap,Muffins,Soda,Detergent"
T000295,"Shampoo,Dish_Soap,Yogurt,Tea,Tomatoes,Milk,Frozen_Dinners"
T000296,"Oranges,Turkey,Deodorant,Shampoo"
T000297,"Ice_Cream,Tomatoes"
T000298,"Tomato_Sauce,Cheese,Cream,Lettuce,Toothpaste,Detergent,Yogurt,Frozen_Dinners"
T000299,"Bananas,Crackers,Bagels,Deodorant,Dish_Soap,Soap,Cookies"
T000300,"Deodorant,Soda,Tea,Tomatoes,Croissants,Milk,Turkey"
T000301,"Frozen_Pizza,Cheese,Apples,Crackers,Deodorant,Chicken,Trash_Bags,Tomatoes"
T000302,"Lettuce,Water,Cookies,Donuts,Milk"
T000303,"Shampoo,Crackers,Water,Beef,Bananas"
T000304,"Shampoo,Ice_Cream,Apples,Beef"
T000305,"Detergent,Bread,Chips,Tea,Crackers,Fish,Lettuce,Ice_Cream"
T000306,"Ice_Cream,Chicken,Cookies,Cream,Frozen_Pizza"
T000307,"Whipped_Cream,Ice_Cream,Bananas,Dish_Soap"
T000308,"Turkey,Fish,Nuts,Bananas,Butter"
T000309,"Dish_Soap,Lettuce,Butter,Shampoo,Beef,Water,Muffins"
T000310,"Chips,Beer,Detergent,Fish,Bagels,Croissants,Beef,Cookies"
T000311,"Ice_Cream,Whipped_Cream,Cream,Soda,Cookies,Croissants,Detergent,Toothpaste,Chips,Frozen_Dinners"
T000312,"Soda,Chips,Toothpaste,Milk,Pork,Fish,Donuts,Oranges"
T000313,"Bread,Cheese"
T000314,"Fish,Butter,Water,Deodorant,Yogurt,Shampoo"
T000315,"Toothpaste,Detergent,Frozen_Pizza,Beef"
T000316,"Frozen_Dinners,Tea,Frozen_Vegetables,Frozen_Pizza"
T000317,"Ice_Cream,Chocolate_Syrup,Juice"
T000318,"Soap,Chocolate,Crackers"
T000319,"Soda,Chips,Turkey,Chocolate"
T000320,"Water,Turkey,Frozen_Vegetables,Juice,Cheese,Shampoo"
T000321,"Apples,Beef"
T000322,"Rice,Chicken,Milk,Tea,Frozen_Vegetables,Frozen_Pizza,Ice_Cream,Bagels,Dish_Soap"
T000323,"Chips,Shampoo"
T000324,"Chips,Dish_Soap,Frozen_Vegetables,Nuts,Tomatoes,Paper_Towels"
T000325,"Deodorant,Detergent,Apples,Ice_Cream"
T000326,"Detergent,Frozen_Dinners"
T000327,"Oranges,Water,Soap,Pork,Chicken"
T000328,"Chicken,Vegetables,Muffins,Juice,Deodorant,Chips,Frozen_Pizza,Frozen_Dinners,Croissants"
T000329,"Bananas,Donuts,Crackers,Juice,Cream,Nuts"
T000330,"Muffins,Paper_Towels,Pork,Frozen_Pizza,Deodorant,Beef"
T000331,"Cheese,Tomato_Sauce,Soda,Chocolate"
T000332,"Vegetables,Chicken,Soda,Ice_Cream,Nuts,Crackers,Tomatoes,Bread,Oranges"
T000333,"Chocolate_Syrup,Whipped_Cream,Cheese,Bagels,Detergent,Oranges,Chicken,Toothpaste"
T000334,"Bananas,Nuts,Donuts,Pork,Bread,Soap,Bagels"
T000335,"Shampoo,Yogurt,Chips,Turkey,Crackers,Nuts"
T000336,"Ice_Cream,Trash_Bags,Milk,Dish_Soap"
T000337,"Chips,Salsa,Tomatoes,Frozen_Pizza"
T000338,"Sugar,Cream,Chips,Beef,Cookies,Soap"
T000339,"Ice_Cream,Whipped_Cream,Soap,Trash_Bags,Bananas,Tomatoes"
T000340,"Nuts,Paper_Towels,Lettuce,Bananas,Frozen_Dinners,Croissants"
T000341,"Bananas,Tomatoes"
T000342,"Nuts,Juice"
T000343,"Lettuce,Frozen_Dinners"
T000344,"Frozen_Vegetables,Cookies"
T000345,"Rice,Vegetables,Frozen_Pizza,Fish"
T000346,"Butter,Milk,Soda,Cookies,Pork,Deodorant,Donuts,Chicken,Cheese"
T000347,"Tomatoes,Toothpaste,Chips,Frozen_Dinners"
T000348,"Lettuce,Beef,Dish_Soap,Juice,Tomatoes,Crackers"
T000349,"Rice,Chicken,Donuts,Turkey,Paper_Towels"
T000350,"Cookies,Frozen_Dinners,Soda"
T000351,"Chocolate,Trash_Bags,Coffee,Lettuce,Butter"
T000352,"Pasta,Tomato_Sauce,Frozen_Vegetables,Yogurt,Apples,Beef,Muffins,Water,Trash_Bags"
T000353,"Tea,Coffee,Shampoo,Tomatoes,Bagels,Crackers,Cheese,Water"
T000354,"Tomato_Sauce,Pasta,Bananas,Dish_Soap,Cheese,Coffee,Soda,Apples,Chips"
T000355,"Detergent,Cookies,Deodorant,Fish,Dish_Soap,Bananas"
T000356,"Bread,Milk,Ice_Cream,Paper_Towels"
T000357,"Yogurt,Shampoo,Donuts,Lettuce"
T000358,"Whipped_Cream,Chocolate_Syrup,Beef,Fish,Detergent"
T000359,"Deodorant,Ice_Cream,Bananas,Toothpaste,Oranges"
T000360,"Cream,Crackers,Tomatoes,Trash_Bags"
T000361,"Frozen_Pizza,Cookies"
T000362,"Ice_Cream,Chicken,Dish_Soap"
T000363,"Chips,Pork,Donuts,Bagels,Detergent,Chocolate"
T000364,"Vegetables,Chicken,Croissants,Trash_Bags,Milk,Apples,Bread,Tea"
T000365,"Trash_Bags,Shampoo,Deodorant"
T000366,"Cereal,Bananas,Donuts,Tea,Frozen_Dinners,Dish_Soap,Bagels,Oranges"
T000367,"Beer,Salsa,Tomatoes,Frozen_Pizza,Frozen_Dinners,Juice,Soda,Bananas,Chocolate"
T000368,"Oranges,Paper_Towels,Nuts,Donuts,Frozen_Vegetables,Bananas,Juice"
T000369,"Rice,Chicken,Pork,Dish_Soap,Juice,Fish"
T000370,"Dish_Soap,Pork,Deodorant"
T000371,"Muffins,Frozen_Vegetables,Tomatoes,Ice_Cream,Shampoo"
T000372,"Soap,Frozen_Dinners,Toothpaste,Croissants,Trash_Bags,Fish,Frozen_Pizza"
T000373,"Bananas,Milk,Nuts,Detergent,Soap,Beef,Bagels,Yogurt,Water"
T000374,"Cheese,Turkey,Chicken,Juice,Tea"
T000375,"Chocolate_Syrup,Whipped_Cream,Lettuce,Tomatoes"
T000376,"Oranges,Toothpaste,Tea,Milk,Trash_Bags,Crackers"
T000377,"Dish_Soap,Muffins,Bagels,Paper_Towels"
T000378,"Whipped_Cream,Ice_Cream,Chips,Frozen_Dinners,Toothpaste,Bread,Cheese"
T000379,"Donuts,Fish,Milk,Butter"
T000380,"Butter,Milk,Juice,Donuts,Cookies,Soap"
T000381,"Tea,Coffee"
T000382,"Milk,Coffee,Toothpaste,Bananas"
T000383,"Chocolate,Beef,Pork,Lettuce,Cream,Detergent"
T000384,"Cereal,Bananas,Cheese,Nuts,Juice"
T000385,"Soap,Crackers,Bread,Yogurt,Cream,Tomatoes,Chocolate"
T000386,"Cheese,Pasta,Crackers,Detergent,Frozen_Dinners,Tea,Trash_Bags,Butter,Coffee,Toothpaste"
T000387,"Muffins,Soap,Frozen_Dinners,Chocolate"
T000388,"Frozen_Dinners,Deodorant,Trash_Bags,Chips,Beef,Water"
T000389,"Trash_Bags,Toothpaste,Pork"
T000390,"Bagels,Chicken,Bananas"
T000391,"Chocolate,Frozen_Pizza,Bread,Frozen_Vegetables,Cheese"
T000392,"Ice_Cream,Chocolate_Syrup,Detergent,Soap,Cheese,Tea,Juice"
